CdAponOrNu;FZZ_URB_%;FZZ_RUR_%;FZZ_NAT_%;ID;Cod_Regiao;Cod_UF;TIPO;Cod_Mun
0;0,000000;100,000000;0,000000;2956;5;51;10;0
0;54,443620;45,556380;0,000000;2957;5;51;2;0
0;100,000000;0,000000;0,000000;2958;5;51;1;0
0;69,806710;30,193290;0,000000;2959;5;51;2;0
0;0,000000;100,000000;0,000000;2960;2;29;10;0
0;0,000000;100,000000;0,000000;2961;2;29;10;0
0;0,277680;6,052000;93,670320;2962;5;51;16;0
0;0,000000;0,020490;99,979510;2963;5;51;16;0
0;0,000000;100,000000;0,000000;2964;2;29;10;0
0;7,705220;0,000000;92,294780;2965;5;51;16;0
0;0,000000;6,908190;93,091810;2966;3;31;16;0
0;0,000000;1,909740;98,090260;2967;3;31;16;0
0;0,000000;100,000000;0,000000;2968;2;29;10;0
0;100,000000;0,000000;0,000000;2969;2;29;1;0
0;0,000000;71,011000;28,989000;2970;2;29;12;0
0;0,000000;55,480760;44,519240;2971;2;29;12;0
0;0,000000;50,622700;49,377300;2972;2;29;12;0
0;5,236300;88,452370;6,311330;2973;5;51;10;0
0;0,000000;8,031640;91,968360;2974;2;29;16;0
0;0,000000;0,000000;100,000000;2975;2;29;16;0
0;0,000000;0,000000;100,000000;2976;2;29;16;0
0;0,000000;100,000000;0,000000;2977;5;51;10;0
0;100,000000;0,000000;0,000000;2978;5;51;1;0
0;0,000000;0,000000;100,000000;2979;5;51;16;0
0;0,000000;62,289050;37,710950;2980;2;29;12;0
0;100,000000;0,000000;0,000000;2981;5;51;1;0
0;0,000000;63,463200;36,536800;2982;2;29;12;0
0;83,441390;16,558610;0,000000;2983;5;51;1;0
0;0,000000;100,000000;0,000000;2984;5;51;10;0
0;0,000000;0,000000;100,000000;2985;5;51;16;0
0;0,000000;72,545540;27,454460;2986;2;29;12;0
0;0,000000;80,867520;19,132480;2987;2;29;10;0
0;0,000000;0,000000;100,000000;2988;2;29;16;0
0;0,000000;1,369660;98,630340;2989;5;51;16;0
0;2,994470;85,950070;11,055460;2990;2;29;10;0
0;0,000000;55,225890;44,774110;2991;5;51;12;0
0;0,000000;67,085920;32,914080;2992;2;29;12;0
